index,task_id,domain,scene_id,task_category,motion_type,source_image_path,exported_image_path
16,erob_159,embodied_robotics,erob_amr_charger_smoke_abort,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_amr_charger_smoke_abort/ref_16.jpg,reports/video_generation_500_images/016__erob_159__embodied_robotics__erob_amr_charger_smoke_abort__ref_16.jpg
17,erob_041,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_01.jpg,reports/video_generation_500_images/017__erob_041__embodied_robotics__erob_amr_warehouse_navigation__ref_01.jpg
18,erob_043,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_03.jpg,reports/video_generation_500_images/018__erob_043__embodied_robotics__erob_amr_warehouse_navigation__ref_03.jpg
19,erob_044,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_04.jpg,reports/video_generation_500_images/019__erob_044__embodied_robotics__erob_amr_warehouse_navigation__ref_04.jpg
20,erob_045,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_07.jpg,reports/video_generation_500_images/020__erob_045__embodied_robotics__erob_amr_warehouse_navigation__ref_07.jpg
21,erob_046,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_08.jpg,reports/video_generation_500_images/021__erob_046__embodied_robotics__erob_amr_warehouse_navigation__ref_08.jpg
22,erob_094,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_05.jpg,reports/video_generation_500_images/022__erob_094__embodied_robotics__erob_amr_warehouse_navigation__ref_05.jpg
23,erob_095,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_06.jpg,reports/video_generation_500_images/023__erob_095__embodied_robotics__erob_amr_warehouse_navigation__ref_06.jpg
24,erob_210,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_15.jpg,reports/video_generation_500_images/024__erob_210__embodied_robotics__erob_amr_warehouse_navigation__ref_15.jpg
25,erob_211,embodied_robotics,erob_amr_warehouse_navigation,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_16.jpg,reports/video_generation_500_images/025__erob_211__embodied_robotics__erob_amr_warehouse_navigation__ref_16.jpg
26,erob_014,embodied_robotics,erob_cobot_human_handover,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_05.jpg,reports/video_generation_500_images/026__erob_014__embodied_robotics__erob_cobot_human_handover__ref_05.jpg
27,erob_015,embodied_robotics,erob_cobot_human_handover,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_15.jpg,reports/video_generation_500_images/027__erob_015__embodied_robotics__erob_cobot_human_handover__ref_15.jpg
28,erob_016,embodied_robotics,erob_cobot_human_handover,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_16.jpg,reports/video_generation_500_images/028__erob_016__embodied_robotics__erob_cobot_human_handover__ref_16.jpg
29,erob_092,embodied_robotics,erob_cobot_human_handover,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_08.jpg,reports/video_generation_500_images/029__erob_092__embodied_robotics__erob_cobot_human_handover__ref_08.jpg
30,erob_093,embodied_robotics,erob_cobot_human_handover,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_07.jpg,reports/video_generation_500_images/030__erob_093__embodied_robotics__erob_cobot_human_handover__ref_07.jpg
31,erob_245,embodied_robotics,erob_cobot_human_handover,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_12.jpg,reports/video_generation_500_images/031__erob_245__embodied_robotics__erob_cobot_human_handover__ref_12.jpg
32,erob_246,embodied_robotics,erob_cobot_human_handover,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_13.jpg,reports/video_generation_500_images/032__erob_246__embodied_robotics__erob_cobot_human_handover__ref_13.jpg
33,erob_261,embodied_robotics,erob_cobot_human_handover,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_human_handover/ref_17.jpg,reports/video_generation_500_images/033__erob_261__embodied_robotics__erob_cobot_human_handover__ref_17.jpg
34,erob_115,embodied_robotics,erob_cobot_safety_scanner_slowdown,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_17.jpg,reports/video_generation_500_images/034__erob_115__embodied_robotics__erob_cobot_safety_scanner_slowdown__ref_17.jpg
35,erob_160,embodied_robotics,erob_cobot_safety_scanner_slowdown,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_16.jpg,reports/video_generation_500_images/035__erob_160__embodied_robotics__erob_cobot_safety_scanner_slowdown__ref_16.jpg
36,erob_162,embodied_robotics,erob_cobot_safety_scanner_slowdown,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_18.jpg,reports/video_generation_500_images/036__erob_162__embodied_robotics__erob_cobot_safety_scanner_slowdown__ref_18.jpg
37,erob_163,embodied_robotics,erob_cobot_safety_scanner_slowdown,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_19.jpg,reports/video_generation_500_images/037__erob_163__embodied_robotics__erob_cobot_safety_scanner_slowdown__ref_19.jpg
38,erob_167,embodied_robotics,erob_cobot_safety_scanner_slowdown,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_23.jpg,reports/video_generation_500_images/038__erob_167__embodied_robotics__erob_cobot_safety_scanner_slowdown__ref_23.jpg
39,erob_168,embodied_robotics,erob_cobot_safety_scanner_slowdown,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_24.jpg,reports/video_generation_500_images/039__erob_168__embodied_robotics__erob_cobot_safety_scanner_slowdown__ref_24.jpg
40,erob_249,embodied_robotics,erob_cobot_safety_scanner_slowdown,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_11.jpg,reports/video_generation_500_images/040__erob_249__embodied_robotics__erob_cobot_safety_scanner_slowdown__ref_11.jpg
41,erob_250,embodied_robotics,erob_cobot_safety_scanner_slowdown,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_12.jpg,reports/video_generation_500_images/041__erob_250__embodied_robotics__erob_cobot_safety_scanner_slowdown__ref_12.jpg
42,erob_082,embodied_robotics,erob_gripper_failure_recovery,topology_mutation_and_failure,dolly,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_02.jpg,reports/video_generation_500_images/042__erob_082__embodied_robotics__erob_gripper_failure_recovery__ref_02.jpg
43,erob_083,embodied_robotics,erob_gripper_failure_recovery,topology_mutation_and_failure,dolly,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_12.jpg,reports/video_generation_500_images/043__erob_083__embodied_robotics__erob_gripper_failure_recovery__ref_12.jpg
44,erob_084,embodied_robotics,erob_gripper_failure_recovery,topology_mutation_and_failure,dolly,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_13.jpg,reports/video_generation_500_images/044__erob_084__embodied_robotics__erob_gripper_failure_recovery__ref_13.jpg
45,erob_086,embodied_robotics,erob_gripper_failure_recovery,topology_mutation_and_failure,dolly,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_15.jpg,reports/video_generation_500_images/045__erob_086__embodied_robotics__erob_gripper_failure_recovery__ref_15.jpg
46,erob_099,embodied_robotics,erob_gripper_failure_recovery,topology_mutation_and_failure,dolly,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_17.jpg,reports/video_generation_500_images/046__erob_099__embodied_robotics__erob_gripper_failure_recovery__ref_17.jpg
47,erob_100,embodied_robotics,erob_gripper_failure_recovery,topology_mutation_and_failure,dolly,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_18.jpg,reports/video_generation_500_images/047__erob_100__embodied_robotics__erob_gripper_failure_recovery__ref_18.jpg
48,erob_193,embodied_robotics,erob_gripper_failure_recovery,topology_mutation_and_failure,dolly,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_20.jpg,reports/video_generation_500_images/048__erob_193__embodied_robotics__erob_gripper_failure_recovery__ref_20.jpg
49,erob_195,embodied_robotics,erob_gripper_failure_recovery,topology_mutation_and_failure,dolly,dataset/images/embodied_robotics/erob_gripper_failure_recovery/ref_06.jpg,reports/video_generation_500_images/049__erob_195__embodied_robotics__erob_gripper_failure_recovery__ref_06.jpg
50,erob_051,embodied_robotics,erob_light_curtain_emergency_stop,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_16.jpg,reports/video_generation_500_images/050__erob_051__embodied_robotics__erob_light_curtain_emergency_stop__ref_16.jpg
51,erob_052,embodied_robotics,erob_light_curtain_emergency_stop,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_14.jpg,reports/video_generation_500_images/051__erob_052__embodied_robotics__erob_light_curtain_emergency_stop__ref_14.jpg
52,erob_053,embodied_robotics,erob_light_curtain_emergency_stop,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_17.jpg,reports/video_generation_500_images/052__erob_053__embodied_robotics__erob_light_curtain_emergency_stop__ref_17.jpg
53,erob_054,embodied_robotics,erob_light_curtain_emergency_stop,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_22.jpg,reports/video_generation_500_images/053__erob_054__embodied_robotics__erob_light_curtain_emergency_stop__ref_22.jpg
54,erob_055,embodied_robotics,erob_light_curtain_emergency_stop,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_26.jpg,reports/video_generation_500_images/054__erob_055__embodied_robotics__erob_light_curtain_emergency_stop__ref_26.jpg
55,erob_056,embodied_robotics,erob_light_curtain_emergency_stop,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_27.jpg,reports/video_generation_500_images/055__erob_056__embodied_robotics__erob_light_curtain_emergency_stop__ref_27.jpg
56,erob_182,embodied_robotics,erob_light_curtain_emergency_stop,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_18.jpg,reports/video_generation_500_images/056__erob_182__embodied_robotics__erob_light_curtain_emergency_stop__ref_18.jpg
57,erob_224,embodied_robotics,erob_light_curtain_emergency_stop,industrial_logic_and_compliance,static,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_25.jpg,reports/video_generation_500_images/057__erob_224__embodied_robotics__erob_light_curtain_emergency_stop__ref_25.jpg
58,erob_072,embodied_robotics,erob_multi_robot_coordination,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_02.jpg,reports/video_generation_500_images/058__erob_072__embodied_robotics__erob_multi_robot_coordination__ref_02.jpg
59,erob_073,embodied_robotics,erob_multi_robot_coordination,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_03.jpg,reports/video_generation_500_images/059__erob_073__embodied_robotics__erob_multi_robot_coordination__ref_03.jpg
60,erob_074,embodied_robotics,erob_multi_robot_coordination,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_04.jpg,reports/video_generation_500_images/060__erob_074__embodied_robotics__erob_multi_robot_coordination__ref_04.jpg
61,erob_075,embodied_robotics,erob_multi_robot_coordination,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_05.jpg,reports/video_generation_500_images/061__erob_075__embodied_robotics__erob_multi_robot_coordination__ref_05.jpg
62,erob_076,embodied_robotics,erob_multi_robot_coordination,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_06.jpg,reports/video_generation_500_images/062__erob_076__embodied_robotics__erob_multi_robot_coordination__ref_06.jpg
63,erob_077,embodied_robotics,erob_multi_robot_coordination,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_07.jpg,reports/video_generation_500_images/063__erob_077__embodied_robotics__erob_multi_robot_coordination__ref_07.jpg
64,erob_140,embodied_robotics,erob_multi_robot_coordination,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_09.jpg,reports/video_generation_500_images/064__erob_140__embodied_robotics__erob_multi_robot_coordination__ref_09.jpg
65,erob_177,embodied_robotics,erob_multi_robot_coordination,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_multi_robot_coordination/ref_15.jpg,reports/video_generation_500_images/065__erob_177__embodied_robotics__erob_multi_robot_coordination__ref_15.jpg
66,erob_031,embodied_robotics,erob_quadruped_stairs_rubble_fpv,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_07.jpg,reports/video_generation_500_images/066__erob_031__embodied_robotics__erob_quadruped_stairs_rubble_fpv__ref_07.jpg
67,erob_032,embodied_robotics,erob_quadruped_stairs_rubble_fpv,spatial_exploration_and_viewpoint,orbit,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_09.jpg,reports/video_generation_500_images/067__erob_032__embodied_robotics__erob_quadruped_stairs_rubble_fpv__ref_09.jpg
68,erob_033,embodied_robotics,erob_quadruped_stairs_rubble_fpv,spatial_exploration_and_viewpoint,dolly,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_12.jpg,reports/video_generation_500_images/068__erob_033__embodied_robotics__erob_quadruped_stairs_rubble_fpv__ref_12.jpg
69,erob_034,embodied_robotics,erob_quadruped_stairs_rubble_fpv,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_13.jpg,reports/video_generation_500_images/069__erob_034__embodied_robotics__erob_quadruped_stairs_rubble_fpv__ref_13.jpg
70,erob_035,embodied_robotics,erob_quadruped_stairs_rubble_fpv,spatial_exploration_and_viewpoint,orbit,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_08.jpg,reports/video_generation_500_images/070__erob_035__embodied_robotics__erob_quadruped_stairs_rubble_fpv__ref_08.jpg
71,erob_037,embodied_robotics,erob_quadruped_stairs_rubble_fpv,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_15.jpg,reports/video_generation_500_images/071__erob_037__embodied_robotics__erob_quadruped_stairs_rubble_fpv__ref_15.jpg
72,erob_216,embodied_robotics,erob_quadruped_stairs_rubble_fpv,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_14.jpg,reports/video_generation_500_images/072__erob_216__embodied_robotics__erob_quadruped_stairs_rubble_fpv__ref_14.jpg
73,erob_222,embodied_robotics,erob_quadruped_stairs_rubble_fpv,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_16.jpg,reports/video_generation_500_images/073__erob_222__embodied_robotics__erob_quadruped_stairs_rubble_fpv__ref_16.jpg
74,erob_001,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_01.jpg,reports/video_generation_500_images/074__erob_001__embodied_robotics__erob_robot_arm_precision_grasp__ref_01.jpg
75,erob_002,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_02.jpg,reports/video_generation_500_images/075__erob_002__embodied_robotics__erob_robot_arm_precision_grasp__ref_02.jpg
76,erob_004,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_08.jpg,reports/video_generation_500_images/076__erob_004__embodied_robotics__erob_robot_arm_precision_grasp__ref_08.jpg
77,erob_007,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_10.jpg,reports/video_generation_500_images/077__erob_007__embodied_robotics__erob_robot_arm_precision_grasp__ref_10.jpg
78,erob_184,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_12.jpg,reports/video_generation_500_images/078__erob_184__embodied_robotics__erob_robot_arm_precision_grasp__ref_12.jpg
79,erob_185,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_13.jpg,reports/video_generation_500_images/079__erob_185__embodied_robotics__erob_robot_arm_precision_grasp__ref_13.jpg
80,erob_186,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_14.jpg,reports/video_generation_500_images/080__erob_186__embodied_robotics__erob_robot_arm_precision_grasp__ref_14.jpg
81,erob_187,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_15.jpg,reports/video_generation_500_images/081__erob_187__embodied_robotics__erob_robot_arm_precision_grasp__ref_15.jpg
82,erob_189,embodied_robotics,erob_robot_arm_precision_grasp,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_arm_precision_grasp/ref_17.jpg,reports/video_generation_500_images/082__erob_189__embodied_robotics__erob_robot_arm_precision_grasp__ref_17.jpg
83,erob_062,embodied_robotics,erob_robot_tool_contact_force,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_02.jpg,reports/video_generation_500_images/083__erob_062__embodied_robotics__erob_robot_tool_contact_force__ref_02.jpg
84,erob_063,embodied_robotics,erob_robot_tool_contact_force,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_04.jpg,reports/video_generation_500_images/084__erob_063__embodied_robotics__erob_robot_tool_contact_force__ref_04.jpg
85,erob_064,embodied_robotics,erob_robot_tool_contact_force,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_05.jpg,reports/video_generation_500_images/085__erob_064__embodied_robotics__erob_robot_tool_contact_force__ref_05.jpg
86,erob_066,embodied_robotics,erob_robot_tool_contact_force,rigid_body_kinematics_and_coupling,pan,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_07.jpg,reports/video_generation_500_images/086__erob_066__embodied_robotics__erob_robot_tool_contact_force__ref_07.jpg
87,erob_144,embodied_robotics,erob_robot_tool_contact_force,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_10.jpg,reports/video_generation_500_images/087__erob_144__embodied_robotics__erob_robot_tool_contact_force__ref_10.jpg
88,erob_170,embodied_robotics,erob_robot_tool_contact_force,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_11.jpg,reports/video_generation_500_images/088__erob_170__embodied_robotics__erob_robot_tool_contact_force__ref_11.jpg
89,erob_174,embodied_robotics,erob_robot_tool_contact_force,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_15.jpg,reports/video_generation_500_images/089__erob_174__embodied_robotics__erob_robot_tool_contact_force__ref_15.jpg
90,erob_179,embodied_robotics,erob_robot_tool_contact_force,rigid_body_kinematics_and_coupling,orbit,dataset/images/embodied_robotics/erob_robot_tool_contact_force/ref_17.jpg,reports/video_generation_500_images/090__erob_179__embodied_robotics__erob_robot_tool_contact_force__ref_17.jpg
91,erob_021,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_03.jpg,reports/video_generation_500_images/091__erob_021__embodied_robotics__erob_tracked_robot_rubble__ref_03.jpg
92,erob_022,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,orbit,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_02.jpg,reports/video_generation_500_images/092__erob_022__embodied_robotics__erob_tracked_robot_rubble__ref_02.jpg
93,erob_024,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_17.jpg,reports/video_generation_500_images/093__erob_024__embodied_robotics__erob_tracked_robot_rubble__ref_17.jpg
94,erob_025,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,orbit,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_04.jpg,reports/video_generation_500_images/094__erob_025__embodied_robotics__erob_tracked_robot_rubble__ref_04.jpg
95,erob_026,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,dolly,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_05.jpg,reports/video_generation_500_images/095__erob_026__embodied_robotics__erob_tracked_robot_rubble__ref_05.jpg
96,erob_027,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_15.jpg,reports/video_generation_500_images/096__erob_027__embodied_robotics__erob_tracked_robot_rubble__ref_15.jpg
97,erob_028,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,orbit,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_18.jpg,reports/video_generation_500_images/097__erob_028__embodied_robotics__erob_tracked_robot_rubble__ref_18.jpg
98,erob_190,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_16.jpg,reports/video_generation_500_images/098__erob_190__embodied_robotics__erob_tracked_robot_rubble__ref_16.jpg
99,erob_259,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_06.jpg,reports/video_generation_500_images/099__erob_259__embodied_robotics__erob_tracked_robot_rubble__ref_06.jpg
100,erob_260,embodied_robotics,erob_tracked_robot_rubble,spatial_exploration_and_viewpoint,pan,dataset/images/embodied_robotics/erob_tracked_robot_rubble/ref_09.jpg,reports/video_generation_500_images/100__erob_260__embodied_robotics__erob_tracked_robot_rubble__ref_09.jpg
