hash,path,referenced_count,action,kept_path
c473f8f2cffe7b12a5f5a124d8d2c33b8063e64fe0c3f6b08ad6924964d69e2f,dataset/images/energy_power/hydroelectric_penstock_and_turbine_hall.jpg,0,keep,dataset/images/energy_power/hydroelectric_penstock_and_turbine_hall.jpg
c473f8f2cffe7b12a5f5a124d8d2c33b8063e64fe0c3f6b08ad6924964d69e2f,dataset/images/energy_power/hydroelectric_penstock_exterior.jpg,0,delete,dataset/images/energy_power/hydroelectric_penstock_and_turbine_hall.jpg
c93835bd90bdde134d84ca1ec7b73ec5f6a8a1210286c4b6d71a52fece2bddb2,dataset/images/manufacturing/industrial_robot_arm.jpg,0,delete,dataset/images/robotics/industrial_robot_arm.jpg
c93835bd90bdde134d84ca1ec7b73ec5f6a8a1210286c4b6d71a52fece2bddb2,dataset/images/robotics/industrial_robot_arm.jpg,9,keep,dataset/images/robotics/industrial_robot_arm.jpg
cecd57e174cc04b0affb59d5d14a942dc3a6634533b86ebfe9deb45b408845d1,dataset/images/manufacturing/rob_004.jpg,0,delete,dataset/images/robotics/rob_004.jpg
cecd57e174cc04b0affb59d5d14a942dc3a6634533b86ebfe9deb45b408845d1,dataset/images/manufacturing/rob_007.jpg,0,delete,dataset/images/robotics/rob_004.jpg
cecd57e174cc04b0affb59d5d14a942dc3a6634533b86ebfe9deb45b408845d1,dataset/images/robotics/rob_004.jpg,0,keep,dataset/images/robotics/rob_004.jpg
cecd57e174cc04b0affb59d5d14a942dc3a6634533b86ebfe9deb45b408845d1,dataset/images/robotics/rob_007.jpg,0,delete,dataset/images/robotics/rob_004.jpg
d2e281beb6a9a73677a2e2aa8a2a939a9e7365ed6950657d63a5617f9bdae653,dataset/images/manufacturing/rob_006.jpg,0,delete,dataset/images/robotics/rob_006.jpg
d2e281beb6a9a73677a2e2aa8a2a939a9e7365ed6950657d63a5617f9bdae653,dataset/images/robotics/rob_006.jpg,0,keep,dataset/images/robotics/rob_006.jpg
e7966d7b894df1e194c6721f73d231a12ed2478b1d766ce805cc7560ad1274df,dataset/images/manufacturing/snake_robot_inspection_unit.jpg,0,delete,dataset/images/robotics/snake_robot_inspection_unit.jpg
e7966d7b894df1e194c6721f73d231a12ed2478b1d766ce805cc7560ad1274df,dataset/images/robotics/snake_robot_inspection_unit.jpg,8,keep,dataset/images/robotics/snake_robot_inspection_unit.jpg
f1378bae193dd834e074164abc0537568236081c35690911304b439bedbc75e8,dataset/images/electronics/micro_004.jpg,0,delete,dataset/images/electronics/micro_lat_001.jpg
f1378bae193dd834e074164abc0537568236081c35690911304b439bedbc75e8,dataset/images/electronics/micro_lat_001.jpg,0,keep,dataset/images/electronics/micro_lat_001.jpg
fa42c60a82de73e6cc6a53afb0840721708e75d453bd7b4fb7db60d6ac063a1d,dataset/images/manufacturing/space_station_robotic_arm.jpg,0,delete,dataset/images/robotics/space_station_robotic_arm.jpg
fa42c60a82de73e6cc6a53afb0840721708e75d453bd7b4fb7db60d6ac063a1d,dataset/images/robotics/space_station_robotic_arm.jpg,0,keep,dataset/images/robotics/space_station_robotic_arm.jpg
