image_path,near_duplicate_of
dataset/images/precision_defect_gen/pdef_tube_bundle_endoscopy/ref_02.jpg,dataset/images/precision_defect_gen/pdef_engine_endoscope_crack/ref_11.jpg
dataset/images/precision_defect_gen/pdef_tube_bundle_endoscopy/ref_03.jpg,dataset/images/precision_defect_gen/pdef_engine_endoscope_crack/ref_12.jpg
dataset/images/precision_defect_gen/pdef_tube_bundle_endoscopy/ref_04.jpg,dataset/images/precision_defect_gen/pdef_engine_endoscope_crack/ref_13.jpg
dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_12.jpg,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_01.jpg
dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_13.jpg,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_02.jpg
dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_14.jpg,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_03.jpg
dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_15.jpg,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_04.jpg
dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_01.jpg,dataset/images/extreme_emergency/emerg_crane_load_drop_evacuation/ref_24.jpg
dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_03.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_17.jpg
dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_05.jpg,dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_18.jpg
dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_11.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_02.jpg
dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_12.png,dataset/images/heavy_load_construction/hload_ground_settlement_outrigger/ref_01.png
dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_01.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_17.jpg
dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_02.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_18.jpg
dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_03.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_19.jpg
dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_04.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_20.jpg
dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_05.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_21.jpg
dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_06.jpg,dataset/images/extreme_emergency/emerg_flange_high_pressure_leak/ref_22.jpg
dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_01.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_07.jpg
dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_02.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_08.jpg
dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_03.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_09.jpg
dataset/images/visual_security/vsec_forklift_overspeed_pallet_shift/ref_04.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_10.jpg
dataset/images/visual_security/vsec_guard_removed_conveyor/ref_01.jpg,dataset/images/visual_security/vsec_conveyor_jam_loto_clearance/ref_16.jpg
dataset/images/visual_security/vsec_guard_removed_conveyor/ref_09.jpg,dataset/images/visual_security/vsec_conveyor_jam_loto_clearance/ref_15.jpg
dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_17.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_07.jpg
dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_18.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_08.jpg
dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_19.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_09.jpg
dataset/images/visual_security/vsec_pedestrian_forklift_near_miss/ref_20.jpg,dataset/images/embodied_robotics/erob_amr_warehouse_navigation/ref_10.jpg
dataset/images/visual_security/vsec_perimeter_fence_breach/ref_14.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_01.jpg
dataset/images/visual_security/vsec_perimeter_fence_breach/ref_15.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_02.jpg
dataset/images/visual_security/vsec_perimeter_fence_breach/ref_16.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_03.jpg
dataset/images/visual_security/vsec_perimeter_fence_breach/ref_17.jpg,dataset/images/extreme_emergency/emerg_dam_or_retaining_wall_breach/ref_04.jpg
dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_01.jpg,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_11.jpg
dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_12.jpg,dataset/images/extreme_emergency/emerg_smoke_evacuation_route_visibility/ref_11.jpg
dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_13.jpg,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_02.jpg
dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_14.jpg,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_03.jpg
dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_15.jpg,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_04.jpg
dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_16.jpg,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_05.jpg
dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_17.jpg,dataset/images/extreme_emergency/emerg_tunnel_fire_smoke_layering/ref_06.jpg
