task_id,content_difficulty_level,content_difficulty_score,original_difficulty_level,domain,task_category,scene_id,motion_type,viewpoint_motion_target,content_difficulty_factors
emerg_053,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_battery_thermal_runaway,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_054,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_battery_thermal_runaway,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_055,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_battery_thermal_runaway,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_056,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_battery_thermal_runaway,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_057,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_battery_thermal_runaway,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_061,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_tunnel_fire_smoke_layering,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_063,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_tunnel_fire_smoke_layering,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_064,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_tunnel_fire_smoke_layering,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_065,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_tunnel_fire_smoke_layering,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_066,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_tunnel_fire_smoke_layering,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_078,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_085,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_cooling_tower_plume_failure,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_086,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_cooling_tower_plume_failure,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_091,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_dam_or_retaining_wall_breach,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_092,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_dam_or_retaining_wall_breach,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_093,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_dam_or_retaining_wall_breach,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_094,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_dam_or_retaining_wall_breach,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_126,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_cooling_tower_plume_failure,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_131,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_cooling_tower_plume_failure,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_132,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_cooling_tower_plume_failure,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_133,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_cooling_tower_plume_failure,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_138,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_139,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_141,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_143,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_149,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_dust_explosion_confined_space,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_151,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_dust_explosion_confined_space,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_153,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_dust_explosion_confined_space,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_154,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_dust_explosion_confined_space,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_158,hard,5.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_flange_high_pressure_leak,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""precision_local_geometry"": 1.0, ""task_family"": 1.7}"
emerg_161,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_162,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_163,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_164,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_167,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_storage_tank_flash_fire,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_168,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_storage_tank_flash_fire,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_169,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_storage_tank_flash_fire,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_170,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_storage_tank_flash_fire,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_174,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_tunnel_fire_smoke_layering,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_178,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_179,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_183,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_reactor_runaway_pressure_release,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_195,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_cooling_tower_plume_failure,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_198,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_cooling_tower_plume_failure,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_212,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_storage_tank_flash_fire,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_218,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_storage_tank_flash_fire,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_219,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_220,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_221,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_225,hard,5.4,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_crane_load_drop_evacuation,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_entity_or_human_interaction"": 0.9, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_228,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_transmission_tower_icing_collapse,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_231,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_dam_or_retaining_wall_breach,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_232,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_dam_or_retaining_wall_breach,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_234,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_dam_or_retaining_wall_breach,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_236,adversarial,6.5,adversarial,extreme_emergency,topology_mutation_and_failure,emerg_dam_or_retaining_wall_breach,dolly,1.5,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.8, ""multi_step_required_events"": 0.25, ""task_family"": 1.55}"
emerg_241,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_tunnel_fire_smoke_layering,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_242,medium,4.85,adversarial,extreme_emergency,fluid_dynamics_and_thermodynamics,emerg_tunnel_fire_smoke_layering,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.7}"
emerg_257,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_dust_explosion_confined_space,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_261,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_dust_explosion_confined_space,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_270,medium,4.5,adversarial,extreme_emergency,industrial_logic_and_compliance,emerg_hot_work_spark_combustible_fire,static,0.0,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 0.0, ""multi_step_required_events"": 0.25, ""task_family"": 1.35}"
emerg_280,hard,5.05,adversarial,extreme_emergency,spatial_exploration_and_viewpoint,emerg_smoke_evacuation_route_visibility,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 0.9}"
emerg_294,hard,5.05,adversarial,extreme_emergency,spatial_exploration_and_viewpoint,emerg_smoke_evacuation_route_visibility,pan,horizontal_pan_lr,"{""causal_safety_response"": 0.8, ""coupled_motion_or_contact"": 0.95, ""fluid_heat_or_pressure"": 1.15, ""motion_control"": 1.0, ""multi_step_required_events"": 0.25, ""task_family"": 0.9}"
