task_id,domain,scene_id,old_image_path,old_width,old_height,old_short_side,new_image_path,new_width,new_height,new_short_side,strategy
erob_031,embodied_robotics,erob_quadruped_stairs_rubble_fpv,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_01.jpg,367,266,266,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_07.jpg,1920,2560,1920,same_scene
erob_032,embodied_robotics,erob_quadruped_stairs_rubble_fpv,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_02.jpg,370,266,266,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_09.jpg,1280,1932,1280,same_scene
erob_033,embodied_robotics,erob_quadruped_stairs_rubble_fpv,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_03.jpg,316,270,270,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_12.jpg,1280,1306,1280,same_scene
erob_034,embodied_robotics,erob_quadruped_stairs_rubble_fpv,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_04.jpg,465,266,266,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_13.jpg,1280,1707,1280,same_scene
erob_035,embodied_robotics,erob_quadruped_stairs_rubble_fpv,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_05.jpg,372,279,279,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_08.jpg,1280,863,863,same_scene
erob_037,embodied_robotics,erob_quadruped_stairs_rubble_fpv,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_10.jpg,474,284,284,dataset/images/embodied_robotics/erob_quadruped_stairs_rubble_fpv/ref_15.jpg,1280,853,853,same_scene
erob_051,embodied_robotics,erob_light_curtain_emergency_stop,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_01.jpg,354,270,270,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_16.jpg,1280,983,983,same_scene
erob_052,embodied_robotics,erob_light_curtain_emergency_stop,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_02.jpg,354,270,270,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_14.jpg,1280,960,960,same_scene
erob_053,embodied_robotics,erob_light_curtain_emergency_stop,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_03.jpg,240,270,240,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_17.jpg,1280,960,960,same_scene
erob_054,embodied_robotics,erob_light_curtain_emergency_stop,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_04.jpg,394,295,295,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_22.jpg,1280,960,960,same_scene
erob_055,embodied_robotics,erob_light_curtain_emergency_stop,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_05.jpg,235,312,235,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_26.jpg,1280,960,960,same_scene
erob_056,embodied_robotics,erob_light_curtain_emergency_stop,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_06.jpg,394,295,295,dataset/images/embodied_robotics/erob_light_curtain_emergency_stop/ref_27.jpg,1280,960,960,same_scene
erob_115,embodied_robotics,erob_cobot_safety_scanner_slowdown,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_13.jpg,354,270,270,dataset/images/embodied_robotics/erob_cobot_safety_scanner_slowdown/ref_17.jpg,1280,1924,1280,same_scene
hload_021,heavy_load_construction,hload_mining_truck_muddy_slope,dataset/images/heavy_load_construction/hload_mining_truck_muddy_slope/ref_01.jpg,441,270,270,dataset/images/heavy_load_construction/hload_mining_truck_muddy_slope/ref_12.jpg,3500,2333,2333,same_scene
hload_022,heavy_load_construction,hload_mining_truck_muddy_slope,dataset/images/heavy_load_construction/hload_mining_truck_muddy_slope/ref_02.jpg,394,295,295,dataset/images/heavy_load_construction/hload_mining_truck_muddy_slope/ref_04.jpg,2000,1335,1335,same_scene
hload_023,heavy_load_construction,hload_mining_truck_muddy_slope,dataset/images/heavy_load_construction/hload_mining_truck_muddy_slope/ref_03.jpg,409,273,273,dataset/images/heavy_load_construction/hload_mining_truck_muddy_slope/ref_08.jpg,1280,1707,1280,same_scene
hload_025,heavy_load_construction,hload_mining_truck_muddy_slope,dataset/images/heavy_load_construction/hload_mining_truck_muddy_slope/ref_05.jpg,331,270,270,dataset/images/heavy_load_construction/hload_mining_truck_muddy_slope/ref_15.jpg,1280,960,960,same_scene
hload_091,heavy_load_construction,hload_formwork_collapse_local,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_01.jpg,379,285,285,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_10.jpg,1280,1707,1280,same_scene
hload_093,heavy_load_construction,hload_formwork_collapse_local,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_03.jpg,249,270,249,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_02.png,1400,1050,1050,same_scene
hload_094,heavy_load_construction,hload_formwork_collapse_local,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_04.jpg,396,297,297,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_09.jpg,1024,1024,1024,same_scene
hload_095,heavy_load_construction,hload_formwork_collapse_local,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_05.jpg,343,270,270,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_12.jpg,1280,960,960,same_scene
hload_096,heavy_load_construction,hload_formwork_collapse_local,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_06.jpg,363,271,271,dataset/images/heavy_load_construction/hload_formwork_collapse_local/ref_15.jpg,1280,960,960,same_scene
pdef_051,precision_defect_gen,pdef_weld_porosity_crack,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_01.jpg,423,266,266,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_16.jpg,1280,1643,1280,same_scene
pdef_052,precision_defect_gen,pdef_weld_porosity_crack,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_02.jpg,172,270,172,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_09.jpg,1280,960,960,same_scene
pdef_053,precision_defect_gen,pdef_weld_porosity_crack,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_03.jpg,363,270,270,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_05.jpg,1280,855,855,same_scene
pdef_054,precision_defect_gen,pdef_weld_porosity_crack,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_04.jpg,324,270,270,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_06.jpg,1280,854,854,same_scene
pdef_056,precision_defect_gen,pdef_weld_porosity_crack,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_13.jpg,343,270,270,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_07.jpg,1280,854,854,same_scene
pdef_057,precision_defect_gen,pdef_weld_porosity_crack,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_14.jpg,360,270,270,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_11.jpg,1280,853,853,same_scene
pdef_058,precision_defect_gen,pdef_weld_porosity_crack,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_15.jpg,407,265,265,dataset/images/precision_defect_gen/pdef_weld_porosity_crack/ref_08.jpg,1280,850,850,same_scene
pdef_062,precision_defect_gen,pdef_surface_scratch_inspection,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_02.jpg,343,270,270,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_11.jpg,1187,1536,1187,same_scene
pdef_063,precision_defect_gen,pdef_surface_scratch_inspection,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_03.jpg,360,270,270,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_12.jpg,1536,1063,1063,same_scene
pdef_064,precision_defect_gen,pdef_surface_scratch_inspection,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_04.jpg,407,265,265,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_15.jpg,1280,1027,1027,same_scene
pdef_065,precision_defect_gen,pdef_surface_scratch_inspection,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_05.jpg,366,270,270,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_13.jpg,1536,1021,1021,same_scene
pdef_066,precision_defect_gen,pdef_surface_scratch_inspection,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_06.jpg,373,279,279,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_16.jpg,1280,1009,1009,same_scene
pdef_067,precision_defect_gen,pdef_surface_scratch_inspection,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_07.jpg,328,270,270,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_14.jpg,1280,853,853,same_scene
pdef_068,precision_defect_gen,pdef_surface_scratch_inspection,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_08.jpg,399,270,270,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_10.jpg,1024,683,683,same_scene
pdef_069,precision_defect_gen,pdef_surface_scratch_inspection,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_09.jpg,402,270,270,dataset/images/precision_defect_gen/pdef_surface_scratch_inspection/ref_01.jpg,414,304,304,same_scene
pdef_081,precision_defect_gen,pdef_connector_pin_bent,dataset/images/precision_defect_gen/pdef_connector_pin_bent/ref_01.jpg,297,297,297,dataset/images/precision_defect_gen/pdef_connector_pin_bent/ref_02.jpg,1920,1919,1919,same_scene
pdef_091,precision_defect_gen,pdef_precision_assembly_misalignment,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_01.jpg,372,270,270,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_09.jpg,1920,1440,1440,same_scene
pdef_092,precision_defect_gen,pdef_precision_assembly_misalignment,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_02.jpg,427,285,285,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_11.jpg,1280,1625,1280,same_scene
pdef_093,precision_defect_gen,pdef_precision_assembly_misalignment,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_03.jpg,468,285,285,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_12.jpg,1280,1622,1280,same_scene
pdef_094,precision_defect_gen,pdef_precision_assembly_misalignment,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_04.jpg,345,288,288,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_13.jpg,1280,1927,1280,same_scene
pdef_096,precision_defect_gen,pdef_precision_assembly_misalignment,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_06.jpg,321,280,280,dataset/images/precision_defect_gen/pdef_precision_assembly_misalignment/ref_14.jpg,1280,2133,1280,same_scene
pdef_108,precision_defect_gen,pdef_gauge_level_valve_anomaly,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_14.jpg,372,270,270,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_01.jpg,1280,1519,1280,same_scene
vsec_042,visual_security,vsec_surveillance_blind_spot_sweep,dataset/images/visual_security/vsec_surveillance_blind_spot_sweep/ref_02.jpg,414,270,270,dataset/images/visual_security/vsec_surveillance_blind_spot_sweep/ref_10.jpg,1280,1707,1280,same_scene
vsec_043,visual_security,vsec_surveillance_blind_spot_sweep,dataset/images/visual_security/vsec_surveillance_blind_spot_sweep/ref_03.jpg,231,270,231,dataset/images/visual_security/vsec_surveillance_blind_spot_sweep/ref_12.jpg,1280,1707,1280,same_scene
vsec_051,visual_security,vsec_perimeter_fence_breach,dataset/images/visual_security/vsec_perimeter_fence_breach/ref_01.jpg,279,285,279,dataset/images/visual_security/vsec_perimeter_fence_breach/ref_02.jpg,1920,2880,1920,same_scene
vsec_081,visual_security,vsec_smoke_alarm_evacuation,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_01.jpg,421,266,266,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_06.jpg,1280,1920,1280,same_scene
vsec_131,visual_security,vsec_electrical_cabinet_smoke_isolation,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_11.jpg,421,266,266,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_01.jpg,1280,1920,1280,same_scene
vsec_253,visual_security,vsec_smoke_alarm_evacuation,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_18.jpg,421,266,266,dataset/images/visual_security/vsec_smoke_alarm_evacuation/ref_09.jpg,1280,1643,1280,same_scene
