task_id,review_image,package_image,current_source_image,source_reports
hload_242,reports/video_generation_500_replacement_review/hload_242.jpg,reports/video_generation_500_package/images/hload_242.jpg,dataset/images/heavy_load_construction/hload_tunnel_pipe_burst_mud_surge/ref_10.jpg,user_deleted_review_replacements.csv
hload_267,reports/video_generation_500_replacement_review/hload_267.jpg,reports/video_generation_500_package/images/hload_267.jpg,dataset/images/heavy_load_construction/hload_blind_lift_spotter_view/ref_19.jpg,user_deleted_review_replacements.csv
hload_277,reports/video_generation_500_replacement_review/hload_277.jpg,reports/video_generation_500_package/images/hload_277.jpg,dataset/images/heavy_load_construction/hload_hoist_collision_near_structure/ref_17.jpg,user_deleted_review_replacements.csv
hload_281,reports/video_generation_500_replacement_review/hload_281.jpg,reports/video_generation_500_package/images/hload_281.jpg,dataset/images/heavy_load_construction/hload_wire_rope_overload_snap/ref_16.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
pdef_031,reports/video_generation_500_replacement_review/pdef_031.jpg,reports/video_generation_500_package/images/pdef_031.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_03.jpg,rejected_500_image_replacements.csv
pdef_053,reports/video_generation_500_replacement_review/pdef_053.jpg,reports/video_generation_500_package/images/pdef_053.jpg,dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_21.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
pdef_054,reports/video_generation_500_replacement_review/pdef_054.jpg,reports/video_generation_500_package/images/pdef_054.jpg,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_20.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
pdef_056,reports/video_generation_500_replacement_review/pdef_056.jpg,reports/video_generation_500_package/images/pdef_056.jpg,dataset/images/precision_defect_gen/pdef_pcb_solder_bridge_short/ref_06.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
pdef_057,reports/video_generation_500_replacement_review/pdef_057.jpg,reports/video_generation_500_package/images/pdef_057.jpg,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_13.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
pdef_058,reports/video_generation_500_replacement_review/pdef_058.jpg,reports/video_generation_500_package/images/pdef_058.jpg,dataset/images/precision_defect_gen/pdef_pcb_solder_bridge_short/ref_11.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
pdef_063,reports/video_generation_500_replacement_review/pdef_063.jpg,reports/video_generation_500_package/images/pdef_063.jpg,dataset/images/precision_defect_gen/pdef_cnc_curved_surface_cutting/ref_12.jpg,followup_rejected_task_replacements.csv
pdef_065,reports/video_generation_500_replacement_review/pdef_065.jpg,reports/video_generation_500_package/images/pdef_065.jpg,dataset/images/precision_defect_gen/pdef_flange_seal_micro_leak/ref_01.jpg,additional_rejected_task_replacements.csv
pdef_066,reports/video_generation_500_replacement_review/pdef_066.jpg,reports/video_generation_500_package/images/pdef_066.jpg,dataset/images/precision_defect_gen/pdef_flange_seal_micro_leak/ref_06.jpg,followup_rejected_task_replacements.csv
pdef_067,reports/video_generation_500_replacement_review/pdef_067.jpg,reports/video_generation_500_package/images/pdef_067.jpg,dataset/images/precision_defect_gen/pdef_cutting_fluid_spray/ref_13.jpg,latest_rejected_task_replacements.csv
pdef_068,reports/video_generation_500_replacement_review/pdef_068.jpg,reports/video_generation_500_package/images/pdef_068.jpg,dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_11.jpg,latest_rejected_task_replacements.csv
pdef_108,reports/video_generation_500_replacement_review/pdef_108.jpg,reports/video_generation_500_package/images/pdef_108.jpg,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_08.jpg,more_rejected_task_replacements.csv
pdef_136,reports/video_generation_500_replacement_review/pdef_136.jpg,reports/video_generation_500_package/images/pdef_136.jpg,dataset/images/precision_defect_gen/pdef_engine_endoscope_crack/ref_07.jpg,followup_rejected_task_replacements.csv
pdef_145,reports/video_generation_500_replacement_review/pdef_145.jpg,reports/video_generation_500_package/images/pdef_145.jpg,dataset/images/precision_defect_gen/pdef_gauge_level_valve_anomaly/ref_17.jpg,mixed_rejected_task_replacements.csv
pdef_176,reports/video_generation_500_replacement_review/pdef_176.jpg,reports/video_generation_500_package/images/pdef_176.jpg,dataset/images/precision_defect_gen/pdef_engine_endoscope_crack/ref_12.jpg,mixed_rejected_task_replacements.csv
pdef_183,reports/video_generation_500_replacement_review/pdef_183.jpg,reports/video_generation_500_package/images/pdef_183.jpg,dataset/images/precision_defect_gen/pdef_flange_seal_micro_leak/ref_02.jpg,three_rejected_task_replacements.csv
pdef_204,reports/video_generation_500_replacement_review/pdef_204.jpg,reports/video_generation_500_package/images/pdef_204.jpg,dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_04.jpg,three_rejected_task_replacements.csv
pdef_205,reports/video_generation_500_replacement_review/pdef_205.jpg,reports/video_generation_500_package/images/pdef_205.jpg,dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_09.jpg,more_rejected_task_replacements.csv
pdef_216,reports/video_generation_500_replacement_review/pdef_216.jpg,reports/video_generation_500_package/images/pdef_216.jpg,dataset/images/precision_defect_gen/pdef_tube_bundle_endoscopy/ref_12.jpg,additional_rejected_task_replacements.csv
pdef_226,reports/video_generation_500_replacement_review/pdef_226.jpg,reports/video_generation_500_package/images/pdef_226.jpg,dataset/images/precision_defect_gen/pdef_gear_tooth_missing_wear/ref_10.jpg,mixed_rejected_task_replacements.csv
vsec_043,reports/video_generation_500_replacement_review/vsec_043.jpg,reports/video_generation_500_package/images/vsec_043.jpg,dataset/images/visual_security/vsec_surveillance_blind_spot_sweep/ref_11.jpg,three_rejected_task_replacements.csv
vsec_111,reports/video_generation_500_replacement_review/vsec_111.jpg,reports/video_generation_500_package/images/vsec_111.jpg,dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_09.jpg,additional_rejected_task_replacements.csv
vsec_114,reports/video_generation_500_replacement_review/vsec_114.jpg,reports/video_generation_500_package/images/vsec_114.jpg,dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_07.jpg,more_rejected_task_replacements.csv
vsec_115,reports/video_generation_500_replacement_review/vsec_115.jpg,reports/video_generation_500_package/images/vsec_115.jpg,dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_08.jpg,rejected_500_image_replacements.csv
vsec_131,reports/video_generation_500_replacement_review/vsec_131.jpg,reports/video_generation_500_package/images/vsec_131.jpg,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_03.jpg,rejected_500_image_replacements.csv
vsec_141,reports/video_generation_500_replacement_review/vsec_141.jpg,reports/video_generation_500_package/images/vsec_141.jpg,dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_03.jpg,rejected_500_image_replacements.csv
vsec_146,reports/video_generation_500_replacement_review/vsec_146.jpg,reports/video_generation_500_package/images/vsec_146.jpg,dataset/images/visual_security/vsec_crane_unsafe_swing_near_people/ref_05.jpg,rejected_500_image_replacements.csv
vsec_157,reports/video_generation_500_replacement_review/vsec_157.jpg,reports/video_generation_500_package/images/vsec_157.jpg,dataset/images/visual_security/vsec_dangerous_goods_liquid_leak/ref_04.jpg,user_deleted_review_replacements.csv
vsec_170,reports/video_generation_500_replacement_review/vsec_170.jpg,reports/video_generation_500_package/images/vsec_170.jpg,dataset/images/visual_security/vsec_surveillance_blind_spot_sweep/ref_05.jpg,rejected_500_image_replacements.csv
vsec_175,reports/video_generation_500_replacement_review/vsec_175.jpg,reports/video_generation_500_package/images/vsec_175.jpg,dataset/images/visual_security/vsec_conveyor_jam_loto_clearance/ref_09.jpg,rejected_500_image_replacements.csv;video_generation_500_dedupe_replacements.csv
vsec_193,reports/video_generation_500_replacement_review/vsec_193.jpg,reports/video_generation_500_package/images/vsec_193.jpg,dataset/images/visual_security/vsec_electrical_cabinet_smoke_isolation/ref_09.jpg,additional_rejected_task_replacements.csv
vsec_228,reports/video_generation_500_replacement_review/vsec_228.jpg,reports/video_generation_500_package/images/vsec_228.jpg,dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_13.jpg,vsec_surveillance_replacements.csv
vsec_229,reports/video_generation_500_replacement_review/vsec_229.jpg,reports/video_generation_500_package/images/vsec_229.jpg,dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_08.jpg,vsec_surveillance_replacements.csv
vsec_232,reports/video_generation_500_replacement_review/vsec_232.jpg,reports/video_generation_500_package/images/vsec_232.jpg,dataset/images/visual_security/vsec_perimeter_fence_breach/ref_08.jpg,vsec_surveillance_replacements.csv
vsec_233,reports/video_generation_500_replacement_review/vsec_233.jpg,reports/video_generation_500_package/images/vsec_233.jpg,dataset/images/visual_security/vsec_unregistered_vehicle_intrusion/ref_11.jpg,vsec_surveillance_replacements.csv
